#trait	trait_name	trait_category	trait_category_plot	family
INI25492	WA FA in tract cingulate gyrus part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25493	WA FA in tract cingulate gyrus part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25495	WA FA in tract parahippocampal part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25497	WA FA in tract corticospinal tract (R)	Diffusion_brain_MRI	Others	gaussian
INI25498	WA FA in tract forceps major	Diffusion_brain_MRI	Others	gaussian
INI25499	WA FA in tract forceps minor	Diffusion_brain_MRI	Others	gaussian
INI25500	WA FA in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25501	WA FA in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25502	WA FA in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25503	WA FA in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25506	WA FA in tract medial lemniscus (R)	Diffusion_brain_MRI	Others	gaussian
INI25507	WA FA in tract posterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25508	WA FA in tract posterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25509	WA FA in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25511	WA FA in tract superior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25512	WA FA in tract superior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25513	WA FA in tract uncinate fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25514	WA FA in tract uncinate fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25515	WA MD in tract acoustic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25516	WA MD in tract acoustic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25517	WA MD in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25519	WA MD in tract cingulate gyrus part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25520	WA MD in tract cingulate gyrus part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25521	WA MD in tract parahippocampal part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25523	WA MD in tract corticospinal tract (L)	Diffusion_brain_MRI	Others	gaussian
INI25524	WA MD in tract corticospinal tract (R)	Diffusion_brain_MRI	Others	gaussian
INI25525	WA MD in tract forceps major	Diffusion_brain_MRI	Others	gaussian
INI25526	WA MD in tract forceps minor	Diffusion_brain_MRI	Others	gaussian
INI25527	WA MD in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25528	WA MD in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25529	WA MD in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25530	WA MD in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25531	WA MD in tract middle cerebellar peduncle	Diffusion_brain_MRI	Others	gaussian
INI25533	WA MD in tract medial lemniscus (R)	Diffusion_brain_MRI	Others	gaussian
INI25536	WA MD in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25538	WA MD in tract superior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25539	WA MD in tract superior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25540	WA MD in tract uncinate fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25541	WA MD in tract uncinate fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25542	WA MO in tract acoustic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25543	WA MO in tract acoustic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25544	WA MO in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25545	WA MO in tract anterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25548	WA MO in tract parahippocampal part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25549	WA MO in tract parahippocampal part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25551	WA MO in tract corticospinal tract (R)	Diffusion_brain_MRI	Others	gaussian
INI25553	WA MO in tract forceps minor	Diffusion_brain_MRI	Others	gaussian
INI25555	WA MO in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25558	WA MO in tract middle cerebellar peduncle	Diffusion_brain_MRI	Others	gaussian
INI25560	WA MO in tract medial lemniscus (R)	Diffusion_brain_MRI	Others	gaussian
INI25561	WA MO in tract posterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25562	WA MO in tract posterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25563	WA MO in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25564	WA MO in tract superior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25566	WA MO in tract superior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25570	WA L1 in tract acoustic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25571	WA L1 in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25572	WA L1 in tract anterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25578	WA L1 in tract corticospinal tract (R)	Diffusion_brain_MRI	Others	gaussian
INI25579	WA L1 in tract forceps major	Diffusion_brain_MRI	Others	gaussian
INI25580	WA L1 in tract forceps minor	Diffusion_brain_MRI	Others	gaussian
INI25581	WA L1 in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25582	WA L1 in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25583	WA L1 in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25584	WA L1 in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25585	WA L1 in tract middle cerebellar peduncle	Diffusion_brain_MRI	Others	gaussian
INI25589	WA L1 in tract posterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25590	WA L1 in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25591	WA L1 in tract superior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25592	WA L1 in tract superior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25593	WA L1 in tract superior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25594	WA L1 in tract uncinate fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25597	WA L2 in tract acoustic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25598	WA L2 in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25599	WA L2 in tract anterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25600	WA L2 in tract cingulate gyrus part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25601	WA L2 in tract cingulate gyrus part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25602	WA L2 in tract parahippocampal part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25604	WA L2 in tract corticospinal tract (L)	Diffusion_brain_MRI	Others	gaussian
INI25605	WA L2 in tract corticospinal tract (R)	Diffusion_brain_MRI	Others	gaussian
INI25606	WA L2 in tract forceps major	Diffusion_brain_MRI	Others	gaussian
INI25607	WA L2 in tract forceps minor	Diffusion_brain_MRI	Others	gaussian
INI25608	WA L2 in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25609	WA L2 in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25610	WA L2 in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25611	WA L2 in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25614	WA L2 in tract medial lemniscus (R)	Diffusion_brain_MRI	Others	gaussian
INI25615	WA L2 in tract posterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25617	WA L2 in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25618	WA L2 in tract superior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25619	WA L2 in tract superior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25621	WA L2 in tract uncinate fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25622	WA L2 in tract uncinate fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25624	WA L3 in tract acoustic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25625	WA L3 in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25626	WA L3 in tract anterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25627	WA L3 in tract cingulate gyrus part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25628	WA L3 in tract cingulate gyrus part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25633	WA L3 in tract forceps major	Diffusion_brain_MRI	Others	gaussian
INI25634	WA L3 in tract forceps minor	Diffusion_brain_MRI	Others	gaussian
INI25635	WA L3 in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25636	WA L3 in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25637	WA L3 in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25638	WA L3 in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25639	WA L3 in tract middle cerebellar peduncle	Diffusion_brain_MRI	Others	gaussian
INI25640	WA L3 in tract medial lemniscus (L)	Diffusion_brain_MRI	Others	gaussian
INI25641	WA L3 in tract medial lemniscus (R)	Diffusion_brain_MRI	Others	gaussian
INI25642	WA L3 in tract posterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25644	WA L3 in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25646	WA L3 in tract superior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25647	WA L3 in tract superior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25648	WA L3 in tract uncinate fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25649	WA L3 in tract uncinate fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25650	WA ICVF in tract acoustic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25651	WA ICVF in tract acoustic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25652	WA ICVF in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25653	WA ICVF in tract anterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25654	WA ICVF in tract cingulate gyrus part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25655	WA ICVF in tract cingulate gyrus part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25656	WA ICVF in tract parahippocampal part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25657	WA ICVF in tract parahippocampal part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25658	WA ICVF in tract corticospinal tract (L)	Diffusion_brain_MRI	Others	gaussian
INI25659	WA ICVF in tract corticospinal tract (R)	Diffusion_brain_MRI	Others	gaussian
INI25660	WA ICVF in tract forceps major	Diffusion_brain_MRI	Others	gaussian
INI25661	WA ICVF in tract forceps minor	Diffusion_brain_MRI	Others	gaussian
INI25662	WA ICVF in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25663	WA ICVF in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25664	WA ICVF in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25665	WA ICVF in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25666	WA ICVF in tract middle cerebellar peduncle	Diffusion_brain_MRI	Others	gaussian
INI25667	WA ICVF in tract medial lemniscus (L)	Diffusion_brain_MRI	Others	gaussian
INI25668	WA ICVF in tract medial lemniscus (R)	Diffusion_brain_MRI	Others	gaussian
INI25669	WA ICVF in tract posterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25670	WA ICVF in tract posterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25671	WA ICVF in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25672	WA ICVF in tract superior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25673	WA ICVF in tract superior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25674	WA ICVF in tract superior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25675	WA ICVF in tract uncinate fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25676	WA ICVF in tract uncinate fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25679	WA OD in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25680	WA OD in tract anterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25681	WA OD in tract cingulate gyrus part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25682	WA OD in tract cingulate gyrus part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25684	WA OD in tract parahippocampal part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25685	WA OD in tract corticospinal tract (L)	Diffusion_brain_MRI	Others	gaussian
INI25687	WA OD in tract forceps major	Diffusion_brain_MRI	Others	gaussian
INI25689	WA OD in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25690	WA OD in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25691	WA OD in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25692	WA OD in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25694	WA OD in tract medial lemniscus (L)	Diffusion_brain_MRI	Others	gaussian
INI25695	WA OD in tract medial lemniscus (R)	Diffusion_brain_MRI	Others	gaussian
INI25696	WA OD in tract posterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25697	WA OD in tract posterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25698	WA OD in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25699	WA OD in tract superior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25700	WA OD in tract superior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25701	WA OD in tract superior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25702	WA OD in tract uncinate fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25703	WA OD in tract uncinate fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25704	WA ISOVF in tract acoustic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25705	WA ISOVF in tract acoustic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25707	WA ISOVF in tract anterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25708	WA ISOVF in tract cingulate gyrus part of cingulum (L)	Diffusion_brain_MRI	Others	gaussian
INI25709	WA ISOVF in tract cingulate gyrus part of cingulum (R)	Diffusion_brain_MRI	Others	gaussian
INI25712	WA ISOVF in tract corticospinal tract (L)	Diffusion_brain_MRI	Others	gaussian
INI25713	WA ISOVF in tract corticospinal tract (R)	Diffusion_brain_MRI	Others	gaussian
INI25716	WA ISOVF in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25717	WA ISOVF in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25718	WA ISOVF in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25719	WA ISOVF in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25723	WA ISOVF in tract posterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25724	WA ISOVF in tract posterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25725	WA ISOVF in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25726	WA ISOVF in tract superior longitudinal fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI25727	WA ISOVF in tract superior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25728	WA ISOVF in tract superior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25729	WA ISOVF in tract uncinate fasciculus (L)	Diffusion_brain_MRI	Others	gaussian
INI25730	WA ISOVF in tract uncinate fasciculus (R)	Diffusion_brain_MRI	Others	gaussian
INI21025	Freq. of discomfort/pain in abdomen in last 3 months	Digestive_health	Others	gaussian
INI21028	Freq. of discomfort/pain getting better or stopping after a bowel movement	Digestive_health	Others	gaussian
INI21029	More frequent bowel movements when abdominal discomfort/pain started	Digestive_health	Others	gaussian
INI21033	Freq. of hard/lumpy stools in the last 3 months	Digestive_health	Others	gaussian
INI21034	Freq. of loose/mushy/watery stools in the last 3 months	Digestive_health	Others	gaussian
INI21039	Severity of current abdominal distension/tightness	Digestive_health	Others	gaussian
INI21040	Satisfaction with bowel habits	Digestive_health	Others	gaussian
INI21042	Greatest # of times bowels opened per day	Digestive_health	Others	gaussian
INI21043	Least # of times bowels opened per week	Digestive_health	Others	gaussian
INI21044	Ave. # of times bowels opened per day	Digestive_health	Others	gaussian
INI21045	# of weeks absent from work due to IBS, in the last year	Digestive_health	Others	gaussian
INI21047	# of weeks (in the last year) at work suffering because of IBS	Digestive_health	Others	gaussian
INI21049	Degree bothered by pain in arms/legs/joints in the past 3 months	Digestive_health	Others	gaussian
INI21051	Degree bothered by headaches in the last 3 months	Digestive_health	Others	gaussian
INI21052	Degree bothered by chest pain in the last 3 months	Digestive_health	Others	gaussian
INI21053	Degree bothered by dizziness in the last 3 months	Digestive_health	Others	gaussian
INI21058	Degree bothered by urinary frequency/bladder irritability in the last 3 months	Digestive_health	Others	gaussian
INI21059	Degree bothered by nausea in the last 3 months	Digestive_health	Others	gaussian
INI21060	Degree bothered by feeling tired all the time in the last 3 months	Digestive_health	Others	gaussian
INI21061	Degree bothered by trouble sleeping in the last 3 months	Digestive_health	Others	gaussian
INI23201	L1-L4 ave. height	DXA_assessment	Others	gaussian
INI23209	Femur neck BMD (bone mineral density) T-score (R)	DXA_assessment	Others	gaussian
INI23210	Femur shaft BMD (bone mineral density) (R)	DXA_assessment	Others	gaussian
INI23212	Femur total BMD (bone mineral density) (R)	DXA_assessment	Others	gaussian
INI23213	Femur total BMD (bone mineral density) T-score (R)	DXA_assessment	Others	gaussian
INI23220	Arm BMC (bone mineral content) (L)	DXA_assessment	Others	gaussian
INI23222	Arm BMC (bone mineral content) (R)	DXA_assessment	Others	gaussian
INI23223	Arm BMD (bone mineral density) (R)	DXA_assessment	Others	gaussian
INI23224	Arms BMC (bone mineral content)	DXA_assessment	Others	gaussian
INI23244	Android bone mass	DXA_assessment	Others	gaussian
INI23252	Arm total mass (L)	DXA_assessment	Others	gaussian
INI23254	Arm lean mass (R)	DXA_assessment	Others	gaussian
INI23255	Arm tissue fat % (R)	DXA_assessment	Others	gaussian
INI23256	Arm total mass (R)	DXA_assessment	Others	gaussian
INI23257	Arms fat mass	DXA_assessment	Others	gaussian
INI23260	Arms total mass	DXA_assessment	Others	gaussian
INI23262	Gynoid fat mass	DXA_assessment	Others	gaussian
INI23263	Gynoid lean mass	DXA_assessment	Others	gaussian
INI23265	Gynoid total mass	DXA_assessment	Others	gaussian
INI23267	Leg lean mass (L)	DXA_assessment	Others	gaussian
INI23269	Leg total mass (L)	DXA_assessment	Others	gaussian
INI23271	Leg lean mass (R)	DXA_assessment	Others	gaussian
INI23272	Leg tissue fat % (R)	DXA_assessment	Others	gaussian
INI23273	Leg total mass (R)	DXA_assessment	Others	gaussian
INI23275	Legs lean mass	DXA_assessment	Others	gaussian
INI23277	Legs total mass	DXA_assessment	Others	gaussian
INI23279	Total fat-free mass	DXA_assessment	Others	gaussian
INI23280	Total lean mass	DXA_assessment	Others	gaussian
INI23285	Trunk lean mass	DXA_assessment	Others	gaussian
INI23290	Femur shaft BMD (bone mineral density) (L)	DXA_assessment	Others	gaussian
INI23298	Femur troch BMD (bone mineral density) T-score (L)	DXA_assessment	Others	gaussian
INI23299	Femur neck BMD (bone mineral density) (L)	DXA_assessment	Others	gaussian
INI23305	Head bone area	DXA_assessment	Others	gaussian
INI23307	Pelvis bone area	DXA_assessment	Others	gaussian
INI23311	Spine bone area	DXA_assessment	Others	gaussian
INI23313	Arm bone area (L)	DXA_assessment	Others	gaussian
INI23314	Arm bone area (R)	DXA_assessment	Others	gaussian
INI23315	Leg bone area (L)	DXA_assessment	Others	gaussian
INI23316	Leg bone area (R)	DXA_assessment	Others	gaussian
INI23317	Arms combined bone area	DXA_assessment	Others	gaussian
INI23318	Legs combined bone area	DXA_assessment	Others	gaussian
INI20022	Birth weight	Early_life_factors	Others	gaussian
QT_FC1001687	Comparative body size at age 10	Early_life_factors	Others	gaussian
QT_FC1001697	Comparative height size at age 10	Early_life_factors	Others	gaussian
INI12336	Ventricular rate	ECG_at_rest,_12-lead	Others	gaussian
INI12338	P duration	ECG_at_rest,_12-lead	Others	gaussian
INI12340	QRS duration	ECG_at_rest,_12-lead	Others	gaussian
INI22330	PQ interval	ECG_at_rest,_12-lead	Others	gaussian
INI22331	QT interval	ECG_at_rest,_12-lead	Others	gaussian
INI22332	QTC interval	ECG_at_rest,_12-lead	Others	gaussian
INI22333	RR interval	ECG_at_rest,_12-lead	Others	gaussian
INI22334	PP interval	ECG_at_rest,_12-lead	Others	gaussian
INI22335	P axis	ECG_at_rest,_12-lead	Others	gaussian
INI22337	T axis	ECG_at_rest,_12-lead	Others	gaussian
INI22338	QRS num	ECG_at_rest,_12-lead	Others	gaussian
INI20121	Cascot confidence score	Employment	Others	gaussian
INI5078	LogMAR in round (L)	Eye_measures	Others	gaussian
INI5079	LogMAR in round (R)	Eye_measures	Others	gaussian
INI5084	Spherical power (R)	Eye_measures	Others	gaussian
INI5085	Spherical power (L)	Eye_measures	Others	gaussian
INI5089	Astigmatism angle (L)	Eye_measures	Others	gaussian
INI5096	3mm weak meridian (L)	Eye_measures	Others	gaussian
INI5097	6mm weak meridian (L)	Eye_measures	Others	gaussian
INI5098	6mm weak meridian (R)	Eye_measures	Others	gaussian
INI5099	3mm weak meridian (R)	Eye_measures	Others	gaussian
INI5101	6mm weak meridian angle (R)	Eye_measures	Others	gaussian
INI5103	3mm weak meridian angle (L)	Eye_measures	Others	gaussian
INI5104	3mm strong meridian angle (L)	Eye_measures	Others	gaussian
INI5105	6mm strong meridian angle (L)	Eye_measures	Others	gaussian
INI5107	3mm strong meridian angle (R)	Eye_measures	Others	gaussian
INI5109	6mm asymmetry angle (R)	Eye_measures	Others	gaussian
INI5111	3mm asymmetry angle (L)	Eye_measures	Others	gaussian
INI5112	3mm cylindrical power angle (L)	Eye_measures	Others	gaussian
INI5113	6mm cylindrical power angle (L)	Eye_measures	Others	gaussian
INI5114	6mm cylindrical power angle (R)	Eye_measures	Others	gaussian
INI5116	3mm cylindrical power (R)	Eye_measures	Others	gaussian
INI5117	6mm cylindrical power (R)	Eye_measures	Others	gaussian
INI5118	6mm cylindrical power (L)	Eye_measures	Others	gaussian
INI5119	3mm cylindrical power (L)	Eye_measures	Others	gaussian
INI5132	3mm strong meridian (R)	Eye_measures	Others	gaussian
INI5133	6mm strong meridian (R)	Eye_measures	Others	gaussian
INI5134	6mm strong meridian (L)	Eye_measures	Others	gaussian
INI5135	3mm strong meridian (L)	Eye_measures	Others	gaussian
INI5157	6mm asymmetry index (L)	Eye_measures	Others	gaussian
INI5158	6mm asymmetry index (R)	Eye_measures	Others	gaussian
INI5160	3mm regularity index (R)	Eye_measures	Others	gaussian
INI5199	LogMAR, initial (R)	Eye_measures	Others	gaussian
INI5201	LogMAR, final (R)	Eye_measures	Others	gaussian
INI5206	LogMAR, initial (L)	Eye_measures	Others	gaussian
INI5208	LogMAR, final (L)	Eye_measures	Others	gaussian
INI5237	3mm index of best keratometry results (R)	Eye_measures	Others	gaussian
INI5254	Intra-ocular pressure, corneal-compensated (R)	Eye_measures	Others	gaussian
INI5255	Intra-ocular pressure, Goldmann-correlated (R)	Eye_measures	Others	gaussian
INI5256	Corneal hysteresis (R)	Eye_measures	Others	gaussian
INI5257	Corneal resistance factor (R)	Eye_measures	Others	gaussian
INI5262	Intra-ocular pressure, corneal-compensated (L)	Eye_measures	Others	gaussian
INI5263	Intra-ocular pressure, Goldmann-correlated (L)	Eye_measures	Others	gaussian
INI5264	Corneal hysteresis (L)	Eye_measures	Others	gaussian
INI5265	Corneal resistance factor (L)	Eye_measures	Others	gaussian
INI5292	3mm index of best keratometry results (L)	Eye_measures	Others	gaussian
INI1807	Father's age at death	Family_history	Others	gaussian
INI1845	Mother's age	Family_history	Others	gaussian
INI3982	# of adopted sisters	Family_history	Others	gaussian
INI5057	# of older siblings	Family_history	Others	gaussian
INI46	Hand grip strength (L)	Hand_grip_strength	Others	gaussian
INI47	Hand grip strength (R)	Hand_grip_strength	Others	gaussian
INI2217	Age started wearing glasses or contact lenses	Health_and_medical_history	Others	gaussian
INI2966	Age high BP diagnosed	Health_and_medical_history	Others	gaussian
INI2976	Age diabetes diagnosed	Health_and_medical_history	Others	gaussian
INI3627	Age angina diagnosed	Health_and_medical_history	Others	gaussian
INI3761	Age hay fever, rhinitis or eczema diagnosed	Health_and_medical_history	Others	gaussian
INI3786	Age asthma diagnosed	Health_and_medical_history	Others	gaussian
INI4700	Age cataract diagnosed	Health_and_medical_history	Others	gaussian
INI4814	Tinnitus severity/nuisance	Health_and_medical_history	Others	gaussian
QT_FC1002178	Overall health rating	Health_and_medical_history	Others	gaussian
QT_FC1002296	Falls in the last year	Health_and_medical_history	Others	gaussian
QT_FC1004803	Tinnitus severity	Health_and_medical_history	Others	gaussian
INI20021	Speech-reception-threshold (SRT) estimate (R)	Hearing_test	Others	gaussian
INI4233	Mean signal-to-noise ratio (SNR), (L)	Hearing_test	Others	gaussian
INI4244	Mean signal-to-noise ratio (SNR), (R)	Hearing_test	Others	gaussian
INI4277	Volume level set by participant (R)	Hearing_test	Others	gaussian
INI22420	LV ejection fraction	Heart_MRI	Others	gaussian
INI22422	LV end systolic volume	Heart_MRI	Others	gaussian
INI22423	LV stroke volume	Heart_MRI	Others	gaussian
INI22425	Cardiac index	Heart_MRI	Others	gaussian
INI22426	Ave. heart rate	Heart_MRI	Others	gaussian
INI22427	Body surface area	Heart_MRI	Others	gaussian
INI134	# of self-reported cancers	Medical_conditions	Others	gaussian
INI135	# of self-reported non-cancer illnesses	Medical_conditions	Others	gaussian
INI87	Non-cancer illness year/age first occurred	Medical_conditions	Others	gaussian
INI137	# of medications taken	Medications	Others	gaussian
INI20405	Ever had known person concerned about, or recommend reduction of, alcohol consumption	Mental_health	Others	gaussian
INI20413	Freq. of inability to cease drinking in last year	Mental_health	Others	gaussian
INI20414	Freq. of drinking alcohol	Mental_health	Others	gaussian
INI20416	Freq. of consuming six or more units of alcohol	Mental_health	Others	gaussian
INI20434	Age at last episode of depression	Mental_health	Others	gaussian
