#trait	trait_name	trait_category	family	h2_obs	h2_obs_se	lambda_GC	mean_chi2	intercept	intercept_se	ratio	ratio_se	WB_case_n	WB_control_n	WB_prev	WB_prev_z	h2_liability
INI25080	Mean FA in superior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2738	0.028	1.0802	1.0974	1.0067	0.0059	0.0683	0.061	NA	NA	NA	NA	NA
INI25081	Mean FA in superior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2676	0.0278	1.0741	1.0976	1.0048	0.0057	0.049	0.0587	NA	NA	NA	NA	NA
INI25084	Mean FA in posterior thalamic radiation on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.311	0.0311	1.0895	1.1181	1.0013	0.0063	0.0112	0.0534	NA	NA	NA	NA	NA
INI25085	Mean FA in posterior thalamic radiation on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3169	0.031	1.0864	1.1152	1.0008	0.0067	0.0071	0.0585	NA	NA	NA	NA	NA
INI25086	Mean FA in sagittal stratum on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2715	0.0301	1.0741	1.0946	1.0066	0.0061	0.0703	0.0647	NA	NA	NA	NA	NA
INI25087	Mean FA in sagittal stratum on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2672	0.0301	1.0679	1.0863	1.0052	0.0066	0.0601	0.0763	NA	NA	NA	NA	NA
INI25088	Mean FA in external capsule on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2722	0.0289	1.0802	1.0982	1.0126	0.006	0.1288	0.0615	NA	NA	NA	NA	NA
INI25090	Mean FA in cingulum cingulate gyrus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2833	0.0293	1.0864	1.1082	1.0105	0.0066	0.0971	0.0606	NA	NA	NA	NA	NA
INI25091	Mean FA in cingulum cingulate gyrus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2819	0.0303	1.0864	1.1087	1.0152	0.0065	0.1401	0.0595	NA	NA	NA	NA	NA
INI25092	Mean FA in cingulum hippocampus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2113	0.0263	1.0618	1.0775	1.0077	0.0059	0.0998	0.0763	NA	NA	NA	NA	NA
INI25093	Mean FA in cingulum hippocampus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2255	0.027	1.0588	1.0698	0.9963	0.0061	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25094	Mean FA in fornix cres+stria terminalis on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2231	0.0284	1.071	1.09	1.0124	0.0063	0.1375	0.0703	NA	NA	NA	NA	NA
INI25096	Mean FA in superior longitudinal fasciculus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2869	0.0291	1.1019	1.1211	1.0192	0.0061	0.1589	0.05	NA	NA	NA	NA	NA
INI25097	Mean FA in superior longitudinal fasciculus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2771	0.0302	1.0895	1.1112	1.0185	0.0063	0.1668	0.0571	NA	NA	NA	NA	NA
INI25098	Mean FA in superior fronto-occipital fasciculus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2924	0.025	1.071	1.0997	0.9956	0.0062	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25099	Mean FA in superior fronto-occipital fasciculus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2871	0.0289	1.0772	1.1132	1.0036	0.0062	0.0316	0.0548	NA	NA	NA	NA	NA
INI25100	Mean FA in uncinate fasciculus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2475	0.0276	1.0772	1.0949	1.009	0.0066	0.0949	0.0695	NA	NA	NA	NA	NA
INI25102	Mean FA in tapetum on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2885	0.027	1.0802	1.1038	0.9994	0.0064	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25103	Mean FA in tapetum on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3113	0.028	1.071	1.1053	0.9934	0.006	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25344	Mean ICVF in middle cerebellar peduncle on FA skeleton	Diffusion_brain_MRI	gaussian	0.3163	0.0349	1.0926	1.1213	1.007	0.0073	0.0577	0.0599	NA	NA	NA	NA	NA
INI25346	Mean ICVF in genu of corpus callosum on FA skeleton	Diffusion_brain_MRI	gaussian	0.4329	0.0401	1.1019	1.1711	1.003	0.0064	0.0173	0.0376	NA	NA	NA	NA	NA
INI25347	Mean ICVF in body of corpus callosum on FA skeleton	Diffusion_brain_MRI	gaussian	0.425	0.0439	1.1113	1.1807	1.0081	0.0068	0.0446	0.0378	NA	NA	NA	NA	NA
INI25349	Mean ICVF in fornix on FA skeleton	Diffusion_brain_MRI	gaussian	0.1665	0.023	1.0527	1.0689	1.0079	0.0061	0.1147	0.088	NA	NA	NA	NA	NA
INI25352	Mean ICVF in medial lemniscus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.144	0.0297	1.0466	1.0703	1.0109	0.0069	0.1557	0.0986	NA	NA	NA	NA	NA
INI25353	Mean ICVF in medial lemniscus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.1686	0.0284	1.0557	1.0696	1.0012	0.0073	0.0167	0.1047	NA	NA	NA	NA	NA
INI25354	Mean ICVF in inferior cerebellar peduncle on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.233	0.0308	1.0741	1.0888	1.0134	0.0067	0.1506	0.0758	NA	NA	NA	NA	NA
INI25355	Mean ICVF in inferior cerebellar peduncle on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2713	0.0296	1.0772	1.0884	1.0012	0.0066	0.0137	0.0751	NA	NA	NA	NA	NA
INI25356	Mean ICVF in superior cerebellar peduncle on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2836	0.0284	1.0772	1.0986	1.0064	0.0057	0.0648	0.0578	NA	NA	NA	NA	NA
INI25357	Mean ICVF in superior cerebellar peduncle on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3124	0.0296	1.0802	1.1084	1.0048	0.0059	0.0444	0.0546	NA	NA	NA	NA	NA
INI25358	Mean ICVF in cerebral peduncle on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2955	0.0357	1.071	1.1146	1.0047	0.0066	0.0406	0.0576	NA	NA	NA	NA	NA
INI25359	Mean ICVF in cerebral peduncle on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.362	0.0352	1.0772	1.1196	0.9959	0.0073	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25360	Mean ICVF in anterior limb of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.3122	0.0349	1.0864	1.1412	1.0149	0.0072	0.1057	0.0507	NA	NA	NA	NA	NA
INI25361	Mean ICVF in anterior limb of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2962	0.0333	1.0864	1.1346	1.0153	0.007	0.1141	0.052	NA	NA	NA	NA	NA
INI25362	Mean ICVF in posterior limb of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.37	0.0372	1.0926	1.1574	1.0025	0.0065	0.0156	0.0415	NA	NA	NA	NA	NA
INI25363	Mean ICVF in posterior limb of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3643	0.0364	1.0957	1.1538	1.0053	0.0065	0.0346	0.042	NA	NA	NA	NA	NA
INI25364	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.3756	0.0371	1.0988	1.1493	1.0027	0.0068	0.0182	0.0457	NA	NA	NA	NA	NA
INI25365	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.4073	0.0389	1.1019	1.1638	1.0017	0.0065	0.0106	0.0396	NA	NA	NA	NA	NA
INI25366	Mean ICVF in anterior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.4102	0.038	1.1019	1.1656	1.005	0.0062	0.0299	0.0373	NA	NA	NA	NA	NA
INI25367	Mean ICVF in anterior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.4119	0.0397	1.1082	1.1715	1.0062	0.0064	0.036	0.0373	NA	NA	NA	NA	NA
INI25368	Mean ICVF in superior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.4208	0.0411	1.105	1.1825	1.0047	0.0066	0.0255	0.0359	NA	NA	NA	NA	NA
INI25369	Mean ICVF in superior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.425	0.0404	1.1082	1.1796	1.0027	0.0067	0.015	0.0375	NA	NA	NA	NA	NA
INI25370	Mean ICVF in posterior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.3645	0.0358	1.0988	1.1508	1.0101	0.0071	0.0672	0.0474	NA	NA	NA	NA	NA
INI25371	Mean ICVF in posterior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.4036	0.0391	1.1082	1.1719	1.0055	0.0072	0.0321	0.0421	NA	NA	NA	NA	NA
INI25372	Mean ICVF in posterior thalamic radiation on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.3707	0.0414	1.0926	1.1599	1.0028	0.0072	0.0178	0.0451	NA	NA	NA	NA	NA
INI25373	Mean ICVF in posterior thalamic radiation on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3975	0.0378	1.0988	1.1611	1.0008	0.0066	0.0049	0.041	NA	NA	NA	NA	NA
INI25374	Mean ICVF in sagittal stratum on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.4077	0.0422	1.0957	1.1527	0.9993	0.0066	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25375	Mean ICVF in sagittal stratum on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3994	0.0373	1.0988	1.1474	1.0034	0.0065	0.0232	0.044	NA	NA	NA	NA	NA
INI25376	Mean ICVF in external capsule on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.3095	0.0343	1.0957	1.1414	1.0147	0.0065	0.1037	0.0463	NA	NA	NA	NA	NA
INI25377	Mean ICVF in external capsule on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3163	0.0316	1.0988	1.134	1.0115	0.0061	0.0856	0.0454	NA	NA	NA	NA	NA
INI25378	Mean ICVF in cingulum cingulate gyrus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.3834	0.0349	1.0988	1.1671	1.0057	0.0059	0.0341	0.0356	NA	NA	NA	NA	NA
INI25379	Mean ICVF in cingulum cingulate gyrus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3742	0.0358	1.1019	1.1637	1.0098	0.0058	0.0601	0.0356	NA	NA	NA	NA	NA
INI25380	Mean ICVF in cingulum hippocampus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.3068	0.0342	1.0864	1.123	1.0129	0.0071	0.105	0.058	NA	NA	NA	NA	NA
INI25381	Mean ICVF in cingulum hippocampus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3146	0.0325	1.0895	1.1191	1.0076	0.0067	0.0637	0.0566	NA	NA	NA	NA	NA
INI25382	Mean ICVF in fornix cres+stria terminalis on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2952	0.0331	1.0741	1.1098	1.0028	0.0068	0.0257	0.0617	NA	NA	NA	NA	NA
INI25383	Mean ICVF in fornix cres+stria terminalis on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3108	0.0336	1.0833	1.1166	1.0034	0.0069	0.0295	0.0588	NA	NA	NA	NA	NA
INI25384	Mean ICVF in superior longitudinal fasciculus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.3991	0.0387	1.1019	1.1721	1.0107	0.0061	0.0619	0.0353	NA	NA	NA	NA	NA
INI25385	Mean ICVF in superior longitudinal fasciculus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.4024	0.0398	1.1082	1.1709	1.012	0.0061	0.0702	0.0354	NA	NA	NA	NA	NA
INI25386	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2938	0.0327	1.0833	1.1366	1.0023	0.0065	0.0167	0.0476	NA	NA	NA	NA	NA
INI25387	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2954	0.0376	1.0833	1.1356	1.0035	0.007	0.0258	0.0513	NA	NA	NA	NA	NA
INI25388	Mean ICVF in uncinate fasciculus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2991	0.0284	1.0895	1.11	1.0046	0.0064	0.0421	0.058	NA	NA	NA	NA	NA
INI25389	Mean ICVF in uncinate fasciculus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.3012	0.0294	1.0864	1.1097	1.0029	0.0066	0.0264	0.0601	NA	NA	NA	NA	NA
INI25391	Mean ICVF in tapetum on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2367	0.038	1.0679	1.1041	1.0034	0.0068	0.0328	0.0649	NA	NA	NA	NA	NA
INI25443	Mean ISOVF in body of corpus callosum on FA skeleton	Diffusion_brain_MRI	gaussian	0.2228	0.0226	1.0649	1.0688	0.9983	0.0055	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25445	Mean ISOVF in fornix on FA skeleton	Diffusion_brain_MRI	gaussian	0.2387	0.0299	1.0618	1.0805	1.0037	0.0068	0.0459	0.0848	NA	NA	NA	NA	NA
INI25452	Mean ISOVF in superior cerebellar peduncle on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.1882	0.026	1.0557	1.0715	1.0044	0.0062	0.0614	0.0865	NA	NA	NA	NA	NA
INI25462	Mean ISOVF in anterior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2141	0.0325	1.0557	1.0791	0.9997	0.0065	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25463	Mean ISOVF in anterior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2199	0.0365	1.0557	1.0804	0.9971	0.007	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25464	Mean ISOVF in superior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.1573	0.0305	1.0345	1.0496	0.9944	0.0066	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25465	Mean ISOVF in superior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.1932	0.0337	1.0466	1.0649	0.9951	0.007	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25467	Mean ISOVF in posterior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2235	0.0316	1.0588	1.0776	0.9961	0.0062	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25469	Mean ISOVF in posterior thalamic radiation on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2045	0.0326	1.0618	1.0782	1.0037	0.0067	0.0475	0.0851	NA	NA	NA	NA	NA
INI25470	Mean ISOVF in sagittal stratum on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.1959	0.0288	1.0588	1.0745	1.0074	0.0066	0.0993	0.0884	NA	NA	NA	NA	NA
INI25471	Mean ISOVF in sagittal stratum on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.1678	0.0293	1.0527	1.06	1.0015	0.0064	0.0249	0.1068	NA	NA	NA	NA	NA
INI25473	Mean ISOVF in external capsule on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2268	0.0269	1.0588	1.0724	0.9986	0.0063	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25474	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.1791	0.0274	1.0496	1.0613	0.9991	0.0064	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25475	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.1497	0.0276	1.0496	1.0625	1.0067	0.0065	0.1075	0.104	NA	NA	NA	NA	NA
INI25488	WA FA in tract acoustic radiation (L)	Diffusion_brain_MRI	gaussian	0.174	0.025	1.0649	1.0716	1.0155	0.0062	0.216	0.0863	NA	NA	NA	NA	NA
INI25489	WA FA in tract acoustic radiation (R)	Diffusion_brain_MRI	gaussian	0.2041	0.0264	1.0588	1.069	1.0049	0.0063	0.0706	0.0907	NA	NA	NA	NA	NA
INI25490	WA FA in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	gaussian	0.243	0.0276	1.0833	1.1105	1.0164	0.0059	0.1489	0.0532	NA	NA	NA	NA	NA
INI25491	WA FA in tract anterior thalamic radiation (R)	Diffusion_brain_MRI	gaussian	0.282	0.0278	1.0833	1.1095	1.0062	0.0063	0.0568	0.0572	NA	NA	NA	NA	NA
INI25492	WA FA in tract cingulate gyrus part of cingulum (L)	Diffusion_brain_MRI	gaussian	0.1737	0.0267	1.071	1.0794	1.0196	0.0063	0.247	0.079	NA	NA	NA	NA	NA
INI25493	WA FA in tract cingulate gyrus part of cingulum (R)	Diffusion_brain_MRI	gaussian	0.2047	0.0299	1.0649	1.0907	1.0131	0.0065	0.1442	0.0716	NA	NA	NA	NA	NA
INI25497	WA FA in tract corticospinal tract (R)	Diffusion_brain_MRI	gaussian	0.2302	0.0238	1.0679	1.0824	1.0034	0.0054	0.041	0.066	NA	NA	NA	NA	NA
INI25498	WA FA in tract forceps major	Diffusion_brain_MRI	gaussian	0.2528	0.0327	1.071	1.1057	1.0069	0.0061	0.0651	0.0579	NA	NA	NA	NA	NA
INI25499	WA FA in tract forceps minor	Diffusion_brain_MRI	gaussian	0.3323	0.0389	1.0864	1.1476	1.009	0.0071	0.0612	0.0483	NA	NA	NA	NA	NA
INI25500	WA FA in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	gaussian	0.2783	0.0306	1.0802	1.1118	1.0114	0.0062	0.1018	0.0557	NA	NA	NA	NA	NA
INI25501	WA FA in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	gaussian	0.3405	0.0304	1.0895	1.1202	1.0016	0.0064	0.0137	0.0534	NA	NA	NA	NA	NA
INI25502	WA FA in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	gaussian	0.2802	0.0292	1.0772	1.1091	1.0116	0.0061	0.1062	0.0557	NA	NA	NA	NA	NA
INI25503	WA FA in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	gaussian	0.3075	0.0294	1.0895	1.1179	1.0109	0.0059	0.0927	0.0498	NA	NA	NA	NA	NA
INI25507	WA FA in tract posterior thalamic radiation (L)	Diffusion_brain_MRI	gaussian	0.2661	0.0277	1.0772	1.0956	1.0012	0.0057	0.0128	0.0596	NA	NA	NA	NA	NA
INI25508	WA FA in tract posterior thalamic radiation (R)	Diffusion_brain_MRI	gaussian	0.274	0.0335	1.0772	1.1137	1.0018	0.006	0.016	0.0532	NA	NA	NA	NA	NA
INI25509	WA FA in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	gaussian	0.3489	0.0303	1.0988	1.1346	1.0078	0.006	0.0578	0.0444	NA	NA	NA	NA	NA
INI25513	WA FA in tract uncinate fasciculus (L)	Diffusion_brain_MRI	gaussian	0.2451	0.0262	1.0772	1.0842	1.0025	0.0062	0.0296	0.0741	NA	NA	NA	NA	NA
INI25514	WA FA in tract uncinate fasciculus (R)	Diffusion_brain_MRI	gaussian	0.2503	0.026	1.0802	1.0945	1.0071	0.0061	0.0756	0.0642	NA	NA	NA	NA	NA
INI25516	WA MD in tract acoustic radiation (R)	Diffusion_brain_MRI	gaussian	0.1582	0.0267	1.0527	1.0668	1.0089	0.0068	0.1325	0.1016	NA	NA	NA	NA	NA
INI25517	WA MD in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	gaussian	0.2196	0.0296	1.0649	1.0964	1.0084	0.0059	0.087	0.0615	NA	NA	NA	NA	NA
INI25519	WA MD in tract cingulate gyrus part of cingulum (L)	Diffusion_brain_MRI	gaussian	0.2649	0.0278	1.0679	1.0986	0.9946	0.0056	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25520	WA MD in tract cingulate gyrus part of cingulum (R)	Diffusion_brain_MRI	gaussian	0.2522	0.027	1.0679	1.0951	1.0012	0.0062	0.0126	0.0648	NA	NA	NA	NA	NA
INI25525	WA MD in tract forceps major	Diffusion_brain_MRI	gaussian	0.1984	0.0253	1.0649	1.0739	1.0083	0.0062	0.1123	0.0841	NA	NA	NA	NA	NA
INI25526	WA MD in tract forceps minor	Diffusion_brain_MRI	gaussian	0.2401	0.0358	1.0772	1.1098	1.0152	0.0073	0.1386	0.0663	NA	NA	NA	NA	NA
INI25527	WA MD in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	gaussian	0.2683	0.0303	1.0772	1.1209	1.0175	0.0063	0.1446	0.0517	NA	NA	NA	NA	NA
INI25528	WA MD in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	gaussian	0.2996	0.0344	1.0772	1.1226	1.0048	0.0064	0.0391	0.0524	NA	NA	NA	NA	NA
INI25529	WA MD in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	gaussian	0.2527	0.0324	1.0802	1.1127	1.0194	0.0066	0.1717	0.0584	NA	NA	NA	NA	NA
INI25530	WA MD in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	gaussian	0.2507	0.0356	1.0772	1.1141	1.0156	0.0068	0.1372	0.0592	NA	NA	NA	NA	NA
INI25536	WA MD in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	gaussian	0.3337	0.039	1.0926	1.1522	1.0156	0.0066	0.1028	0.0432	NA	NA	NA	NA	NA
INI25538	WA MD in tract superior thalamic radiation (L)	Diffusion_brain_MRI	gaussian	0.2125	0.0358	1.071	1.106	1.0141	0.0067	0.1333	0.0637	NA	NA	NA	NA	NA
INI25539	WA MD in tract superior thalamic radiation (R)	Diffusion_brain_MRI	gaussian	0.2366	0.0315	1.071	1.1042	1.0039	0.0058	0.0375	0.056	NA	NA	NA	NA	NA
INI25540	WA MD in tract uncinate fasciculus (L)	Diffusion_brain_MRI	gaussian	0.1931	0.0301	1.0618	1.0867	1.0121	0.0066	0.1392	0.0764	NA	NA	NA	NA	NA
INI25541	WA MD in tract uncinate fasciculus (R)	Diffusion_brain_MRI	gaussian	0.2535	0.0275	1.0741	1.1036	1.0047	0.006	0.0453	0.0578	NA	NA	NA	NA	NA
INI25553	WA MO in tract forceps minor	Diffusion_brain_MRI	gaussian	0.2667	0.0303	1.0833	1.1018	1.0082	0.0067	0.0804	0.0661	NA	NA	NA	NA	NA
INI25558	WA MO in tract middle cerebellar peduncle	Diffusion_brain_MRI	gaussian	0.1659	0.0236	1.0466	1.0514	0.9988	0.0059	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25560	WA MO in tract medial lemniscus (R)	Diffusion_brain_MRI	gaussian	0.1968	0.0254	1.0618	1.0687	1.0069	0.0065	0.0998	0.0949	NA	NA	NA	NA	NA
INI25561	WA MO in tract posterior thalamic radiation (L)	Diffusion_brain_MRI	gaussian	0.1149	0.0298	1.0405	1.0478	1.0125	0.0067	0.2604	0.1408	NA	NA	NA	NA	NA
INI25562	WA MO in tract posterior thalamic radiation (R)	Diffusion_brain_MRI	gaussian	0.1416	0.0264	1.0496	1.051	1.0065	0.0061	0.1277	0.1202	NA	NA	NA	NA	NA
INI25563	WA MO in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	gaussian	0.1847	0.0249	1.0527	1.0646	1.003	0.0066	0.047	0.102	NA	NA	NA	NA	NA
INI25566	WA MO in tract superior thalamic radiation (R)	Diffusion_brain_MRI	gaussian	0.2627	0.0271	1.0802	1.1001	1.0109	0.006	0.1089	0.0598	NA	NA	NA	NA	NA
INI25580	WA L1 in tract forceps minor	Diffusion_brain_MRI	gaussian	0.2231	0.0269	1.071	1.0856	1.0115	0.0067	0.1349	0.0783	NA	NA	NA	NA	NA
INI25581	WA L1 in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	gaussian	0.2233	0.0281	1.0772	1.102	1.0193	0.0068	0.1889	0.0662	NA	NA	NA	NA	NA
INI25582	WA L1 in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	gaussian	0.2209	0.0303	1.0741	1.0988	1.0113	0.0069	0.1146	0.0696	NA	NA	NA	NA	NA
INI25583	WA L1 in tract inferior longitudinal fasciculus (L)	Diffusion_brain_MRI	gaussian	0.2199	0.0296	1.0802	1.0981	1.0178	0.0066	0.1813	0.0672	NA	NA	NA	NA	NA
INI25584	WA L1 in tract inferior longitudinal fasciculus (R)	Diffusion_brain_MRI	gaussian	0.1981	0.0328	1.0741	1.0987	1.0189	0.0068	0.1912	0.0685	NA	NA	NA	NA	NA
INI25590	WA L1 in tract superior longitudinal fasciculus (L)	Diffusion_brain_MRI	gaussian	0.2941	0.0345	1.0833	1.1285	1.0119	0.0067	0.0927	0.0519	NA	NA	NA	NA	NA
INI25591	WA L1 in tract superior longitudinal fasciculus (R)	Diffusion_brain_MRI	gaussian	0.2536	0.031	1.0864	1.1178	1.0162	0.0063	0.1378	0.0535	NA	NA	NA	NA	NA
INI25592	WA L1 in tract superior thalamic radiation (L)	Diffusion_brain_MRI	gaussian	0.2509	0.0326	1.0802	1.1057	1.0068	0.007	0.0642	0.0662	NA	NA	NA	NA	NA
INI25593	WA L1 in tract superior thalamic radiation (R)	Diffusion_brain_MRI	gaussian	0.2803	0.028	1.0772	1.1098	0.9979	0.006	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25594	WA L1 in tract uncinate fasciculus (L)	Diffusion_brain_MRI	gaussian	0.1641	0.0292	1.0527	1.0735	1.0088	0.0069	0.1191	0.0935	NA	NA	NA	NA	NA
INI25597	WA L2 in tract acoustic radiation (R)	Diffusion_brain_MRI	gaussian	0.1465	0.0271	1.0527	1.0603	1.0109	0.0069	0.1814	0.115	NA	NA	NA	NA	NA
INI25598	WA L2 in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	gaussian	0.236	0.0304	1.071	1.1059	1.0096	0.006	0.0908	0.0565	NA	NA	NA	NA	NA
INI25599	WA L2 in tract anterior thalamic radiation (R)	Diffusion_brain_MRI	gaussian	0.2696	0.0311	1.0679	1.1013	0.9968	0.0063	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25600	WA L2 in tract cingulate gyrus part of cingulum (L)	Diffusion_brain_MRI	gaussian	0.2424	0.0254	1.071	1.1002	1.01	0.006	0.0998	0.0595	NA	NA	NA	NA	NA
INI25601	WA L2 in tract cingulate gyrus part of cingulum (R)	Diffusion_brain_MRI	gaussian	0.2544	0.026	1.0741	1.1026	1.007	0.0061	0.0683	0.0597	NA	NA	NA	NA	NA
INI25606	WA L2 in tract forceps major	Diffusion_brain_MRI	gaussian	0.2067	0.0268	1.0649	1.0824	1.0097	0.0062	0.1172	0.075	NA	NA	NA	NA	NA
INI25607	WA L2 in tract forceps minor	Diffusion_brain_MRI	gaussian	0.2648	0.0435	1.0833	1.129	1.0146	0.0079	0.1135	0.0614	NA	NA	NA	NA	NA
INI25608	WA L2 in tract inferior fronto-occipital fasciculus (L)	Diffusion_brain_MRI	gaussian	0.2689	0.0292	1.0833	1.1144	1.0135	0.0059	0.1177	0.052	NA	NA	NA	NA	NA
INI25609	WA L2 in tract inferior fronto-occipital fasciculus (R)	Diffusion_brain_MRI	gaussian	0.3227	0.0322	1.0802	1.1203	1.0007	0.0062	0.006	0.0515	NA	NA	NA	NA	NA
